"","Team","Opponent","Team_Outcome","Winner","OFF_Pas_Comp","OFF_pass_ATT","OFF_pass_CMP_prc","OFF_Pas_AVG","OFF_pass_YDS_pr_G","OFF_pass_TD","OFF_pass_INT","OFF_pass_SACK","OFF_pass_RTG","OFF_rush_ATT","OFF_rush_AVG","OFF_rush_YDS_pr_G","OFF_rush_TD","OFF_rush_FUM","OFF_Turnovers","DEF_Pas_Comp","DEF_pass_ATT","DEF_pass_CMP_prc","DEF_Pas_AVG","DEF_pass_YDS_pr_G","DEF_pass_TD","DEF_pass_INT","DEF_pass_SACK","DEF_pass_RTG","DEF_rush_ATT","DEF_rush_AVG","DEF_rush_YDS_pr_G","DEF_rush_TD","DEF_rush_FUM","DEF_Turnovers"
"176","Seattle","Philadelphia","Win","Away",1.14626168224299,0.932572338731086,1.22887323943662,1.203125,1.17092429168602,1.72108843537415,0.725,0.743341404358353,1.40105540897098,1.02687525070197,0.941176470588235,0.968578161822467,1,0.393939393939394,0.463414634146341,1.24254385964912,1.27921686746988,0.970887918486172,0.8875,1.182340862423,0.880239520958084,2.325,0.93485342019544,0.86084452975048,0.810373306904526,0.928571428571428,0.755695208169678,0.849624060150376,1.85714285714286,1.9
"177","Baltimore","Pittsburgh","Loss","Home",0.611940298507463,0.632352941176471,0.968036529680365,1.16129032258065,0.708485586682907,0.727272727272727,1,2.44827586206897,1.01277955271565,1.41946451338717,1.47222222222222,2.10913404507711,1.8375,2.53846153846154,2.17647058823529,1.32606382978723,1.15001500150015,1.15248226950355,0.984848484848485,1.18441161487519,1.05,0.441666666666667,0.749279538904899,1.19708994708995,0.947904426165296,1.04761904761905,1.0009425070688,1.0958904109589,2.53846153846154,1.76190476190476
"178","New Orleans","Atlanta","Win","Away",0.918084685397705,0.839198561520678,1.0939907550077,1.01333333333333,0.868834490317866,1,0.726027397260274,0.674157303370786,1.10245464247599,1.21151586368978,1.21621621621622,1.50053361792956,2.4125,1.53846153846154,1.33333333333333,0.789473684210526,0.890572823015669,0.887262079062958,0.87012987012987,0.749216300940439,0.935,1.19178082191781,1.49732620320856,0.875621890547264,1.03351487222455,0.886363636363636,0.902369668246445,0.720430107526882,0.65,0.76
"179","Detroit","Chicago","Win","Away",0.959349593495935,0.96328350380278,0.995348837209302,1.15625,1.12021136063408,0.92485549132948,0.8,1.17167381974249,1.0610599078341,0.953170327393286,0.930232558139535,0.889863547758285,1.36986301369863,Inf,5.42857142857143,1.07249660172179,0.988528821336392,1.08530805687204,1.1830985915493,1.20371972318339,1.45625,0.701492537313433,0.616740088105727,1.21506550218341,1.08843537414966,1.09756097560976,1.17113223854797,2.49253731343284,0.35,0.416666666666667
"180","Cleveland","Tennessee","Win","Away",1,1.03504749426793,0.966205837173579,0.936708860759494,0.978251413658112,0.812206572769953,1.12765957446809,0.96078431372549,0.909519321394911,0.9665625,0.94,0.908806995627733,0.863945578231293,2.85714285714286,2.4,0.875523410734678,0.917111619628782,0.955089820359281,1.01408450704225,0.895549834497977,0.877272727272727,0.720430107526882,2.47,0.992723492723493,0.95609220636663,0.955555555555555,0.918367346938776,0.946902654867257,1,0.939393939393939
"181","Cincinnati","Miami","Loss","Home",1.09564436461608,1.12001200120012,0.979041916167665,0.943661971830986,1.01431767337808,0.830065359477124,0.895522388059701,1.45454545454545,0.943796394485684,0.960661764705882,0.975,0.939759036144578,1,1.22222222222222,1.19354838709677,1.03102961918195,1.02958579881657,1.00158982511924,0.924050632911392,1.02509255450432,1.70796460176991,0.626168224299065,0.423220973782772,1.12075029308324,1.05697674418605,1.04347826086957,1.10092514718251,0.73,1.85714285714286,1.21428571428571
"182","Jacksonville","Minnesota","Loss","Home",1.12476635514019,1.20611408761425,0.933234421364985,0.790123456790124,0.956971452213488,0.71830985915493,1.22988505747126,1.05416666666667,0.806013579049467,0.732234809474768,0.938775510204081,0.678943710910354,0.5,0.35,0.538461538461539,1.04438526409232,0.992058823529412,1.05279034690799,1.05128205128205,1.05527442584663,1.22222222222222,0.78494623655914,0.816326530612245,1.115625,1.06666666666667,1,1.07789317507418,1.23893805309735,1,0.947368421052632
"183","Las Vegas","New York Jets","Win","Away",1.28276631344116,1.10322580645161,1.1643598615917,1.27868852459016,1.50850439882698,1.73,0.6625,0.625468164794007,1.33377308707124,1.13897637795276,1.02439024390244,1.15171755725191,2.26415094339623,2.85714285714286,2,0.871212121212121,0.938855500391952,0.927536231884058,0.973684210526316,0.932038834951456,0.865,1,0.679144385026738,0.935770750988142,0.976199062387306,1.20512820512821,1.16328413284133,1.42990654205607,0,0.129032258064516
"184","Indianapolis","Houston","Win","Away",1.00296610169492,1.03972724577527,0.964285714285714,0.863636363636364,0.931059245960503,0.765,1.675,0.456026058631922,0.865058087578195,1.29036697247706,0.976190476190476,1.25848849945236,2,0.259259259259259,0.366666666666667,0.955704137066444,1.01167201634082,0.945558739255014,0.925,0.932692307692308,0.761658031088083,5,1.06572769953052,0.819090909090909,0.825423166279456,0.74,0.612392880685564,0.804511278195489,1.53846153846154,1.92857142857143
"185","Los Angeles Rams","Arizona","Win","Away",1.00570729718712,1.00739118532713,0.99702380952381,1.01408450704225,1.0108,0.76878612716763,1.0875,0.916167664670659,0.952380952380952,0.960950211519688,0.914893617021276,0.871830020562029,0.863945578231293,1.85714285714286,1.58333333333333,0.956274595540009,0.979137299126022,0.976744186046512,0.885714285714286,0.848257609175121,0.61849710982659,1.29850746268657,1.06514657980456,0.857601713062098,0.911340967861101,0.808510638297872,0.743873517786561,0.919540229885058,4.71428571428571,3.54545454545454
